key,value
brand_name,Ancient Bloom
tagline,Glow the way nature intended.
eyebrow,Handmade in small batches · Ships worldwide
intro,"Handcrafted beauty, cosmetics and personal care, made with organic and natural ingredients. No synthetic fragrance, no fillers, nothing you would need a chemistry degree to pronounce."
intro_2,"Because there is no synthetic preservative in any of it, we make in batches small enough to count — and we print the date we poured yours on the jar."
currency,INR
whatsapp,916377713414
instagram,ancient_bloom1111
email,goyalsonia136@gmail.com
orders_url,https://script.google.com/macros/s/AKfycbw77c0cT5fZb9kBdtNfxkztRQCJBwypIf1S42XOb8N_Ek05Lx5ol1b8zl5UnnjxK5GBgA/exec
batch_number,11
batch_poured,02-Aug-26
batch_best_before,02-Feb-27
batch_jars,40
batch_claimed,31
ship_india,"Tracked courier, flat Rs. 150. Free over Rs. 2,000. Usually 3 - 6 days."
ship_world,"Tracked international post, quoted by weight. Usually 8 - 18 days. Duties payable on arrival."
ship_note,Butters and balms can melt in transit and re-set grainy. They are still fine to use. Ask us to hold your order if you would rather wait for cooler weather.
free_shipping_over,2000
ship_flat_india,90
footer_note,Cosmetic products not intended to diagnose or treat any condition.
